"MyUniID" "NS1" "refCoupNum" "coup1" "coup2" "coup3" "interviewDt" "interviewDt2"
305 15 32331113 323311131 323311132 323311133 2300673689 "10/15/09"
308 15 32331121 323311211 323311212 323311213 2300673689 "10/15/09"
309 600 32331122 323311221 323311222 323311223 2300673689 "10/15/09"
310 50 32331123 323311231 323311232 323311233 2300673689 "10/15/09"
311 100 32331331 323313311 323313312 323313313 2300673689 "10/15/09"
312 40 133312123 1333121231 1333121232 1333121233 2300673689 "10/15/09"
313 100 133312121 1333121211 1333121212 1333121213 2300673689 "10/15/09"
314 30 133312122 1333121221 1333121222 1333121223 2300673689 "10/15/09"
315 15 32331332 323313321 323313322 323313323 2300673689 "10/15/09"
317 200 32331311 323313111 323313112 323313113 1231545600 "10/16/09"
318 100 32331313 323313131 323313132 323313133 1231545600 "10/16/09"
319 20 32331312 323313121 323313122 323313123 1231545600 "10/16/09"
320 500 1333121231 13331212311 13331212312 13331212313 1231545600 "10/16/09"
321 500 1333121233 13331212331 13331212332 13331212333 1231545600 "10/16/09"
322 30 1333121232 13331212321 13331212322 13331212323 1231545600 "10/16/09"
323 20 1333121211 13331212111 13331212112 13331212113 1231545600 "10/16/09"
324 30 1333121221 13331212211 13331212212 13331212213 1231545600 "10/16/09"
325 40 323311131 3233111311 3233111312 3233111313 1231545600 "10/16/09"
326 50 323311132 3233111321 3233111322 3233111323 1231545600 "10/16/09"
327 50 323311133 3233111331 3233111332 3233111333 1231545600 "10/16/09"
328 500 3211221 32112211 32112212 32112213 1231545600 "10/16/09"
329 200 3211223 32112231 32112232 32112233 1231545600 "10/16/09"
